Ukazovateæ;;Priemern· nomin·lna mesaËn· mzda zamestnanca (Eur)
;;2018
;;Spolu
Okres Bratislava I;Spolu;1553
Okres Bratislava II;Spolu;1696
Okres Bratislava III;Spolu;1508
Okres Bratislava IV;Spolu;1637
Okres Bratislava V;Spolu;1417
Okres Malacky;Spolu;1331
Okres Pezinok;Spolu;1037
Okres Senec;Spolu;1152
Okres Dunajsk· Streda;Spolu;983
Okres Galanta;Spolu;948
Okres Hlohovec;Spolu;1133
Okres Pieöùany;Spolu;1062
Okres Senica;Spolu;1011
Okres Skalica;Spolu;1234
Okres Trnava;Spolu;1270
Okres B·novce nad Bebravou;Spolu;1061
Okres Ilava;Spolu;1099
Okres Myjava;Spolu;985
Okres NovÈ Mesto nad V·hom;Spolu;1152
Okres Partiz·nske;Spolu;971
Okres Povaûsk· Bystrica;Spolu;1067
Okres Prievidza;Spolu;1034
Okres P˙chov;Spolu;1208
Okres TrenËÌn;Spolu;1141
Okres Kom·rno;Spolu;904
Okres Levice;Spolu;1106
Okres Nitra;Spolu;1093
Okres NovÈ Z·mky;Spolu;961
Okres äaæa;Spolu;1077
Okres TopoæËany;Spolu;1008
Okres ZlatÈ Moravce;Spolu;1002
Okres BytËa;Spolu;1063
Okres »adca;Spolu;887
Okres Doln˝ KubÌn;Spolu;1009
Okres KysuckÈ NovÈ Mesto;Spolu;1308
Okres Liptovsk˝ Mikul·ö;Spolu;963
Okres Martin;Spolu;1167
Okres N·mestovo;Spolu;880
Okres Ruûomberok;Spolu;1094
Okres TurËianske Teplice;Spolu;904
Okres TvrdoöÌn;Spolu;984
Okres éilina;Spolu;1174
Okres Bansk· Bystrica;Spolu;1126
Okres Bansk· ätiavnica;Spolu;878
Okres Brezno;Spolu;990
Okres Detva;Spolu;1039
Okres Krupina;Spolu;838
Okres LuËenec;Spolu;920
Okres Polt·r;Spolu;837
Okres Rev˙ca;Spolu;878
Okres Rimavsk· Sobota;Spolu;847
Okres Veæk˝ KrtÌö;Spolu;803
Okres Zvolen;Spolu;1096
Okres éarnovica;Spolu;1230
Okres éiar nad Hronom;Spolu;1119
Okres Bardejov;Spolu;726
Okres HumennÈ;Spolu;890
Okres Keûmarok;Spolu;815
Okres LevoËa;Spolu;945
Okres Medzilaborce;Spolu;849
Okres Poprad;Spolu;1006
Okres Preöov;Spolu;1022
Okres Sabinov;Spolu;925
Okres Snina;Spolu;833
Okres Star· ºubovÚa;Spolu;887
Okres Stropkov;Spolu;881
Okres SvidnÌk;Spolu;913
Okres Vranov nad Topæou;Spolu;872
Okres Gelnica;Spolu;858
Okres Koöice I;Spolu;1205
Okres Koöice II;Spolu;1382
Okres Koöice III;Spolu;936
Okres Koöice IV;Spolu;1157
Okres Koöice - okolie;Spolu;1071
Okres Michalovce;Spolu;1000
Okres RoûÚava;Spolu;986
Okres Sobrance;Spolu;886
Okres Spiösk· Nov· Ves;Spolu;961
Okres Trebiöov;Spolu;886
